Language,What roles do you play in your project? (mark all that apply),"Among the roles you play, which one do you consider to be your main role?",How long have you been working on this project? ,Which country did you spend the most time in during your participation in this project?,How many commits did you contribute to the project? ,What is your sex?,What is your educational background (highest degree obtained)?,What is your experience (in years) working in software development?,Were you familiar with the presented description of Technical Debt before this questionnaire?,For what reasons did you commonly modify code in the project? (mark all that apply),How often do you introduce technical debt?,For what reasons have you introduced technical debt? (mark all that apply),How often do you repay your own technical debt?,For what reasons do you repay your own technical debt?,Do you recall **noticing** TD? Please respond per TD type [Code Debt],Do you recall **noticing** TD? Please respond per TD type [Defect Debt],Do you recall **noticing** TD? Please respond per TD type [Design Debt],Do you recall **noticing** TD? Please respond per TD type [Documentation Debt],Do you recall **noticing** TD? Please respond per TD type [Test Debt],Do you recall **introducing** TD? Please respond per TD type [Code Debt],Do you recall **introducing** TD? Please respond per TD type [Defect Debt],Do you recall **introducing** TD? Please respond per TD type [Design Debt],Do you recall **introducing** TD? Please respond per TD type [Documentation Debt],Do you recall **introducing** TD? Please respond per TD type [Test Debt],Do you recall **repaying** TD? Please respond per TD type [Code Debt],Do you recall **repaying** TD? Please respond per TD type [Defect Debt],Do you recall **repaying** TD? Please respond per TD type [Design Debt],Do you recall **repaying** TD? Please respond per TD type [Documentation Debt],Do you recall **repaying** TD? Please respond per TD type [Test Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Code Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Defect Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Design Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Documentation Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Test Debt]
Java,"Developer (incl. Software Engineer), Team Lead, Software Architect, Product Owner",Software Architect,3-5 years,US,more than 500 commits,Male,MSc,20,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Inappropriate planning, Lack of experience, Team overload",On a regular basis,Because not doing so sucks,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,"Developer (incl. Software Engineer), Team Lead, Software Architect",Software Architect,3-5 years,Switzerland,more than 500 commits,Male,MSc,20+,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Inappropriate planning, Non-adoption of good practice, Team overload","Sometimes, when it is absolutely essential","once pressure is gone and there's a little time to ""make things right"" again",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,"Developer (incl. Software Engineer), Software Architect",Tester (incl. Quality Assurance),3-5 years,Poland,more than 500 commits,Male,MSc,12,Yes,"Bug fixing, New feature","Sometimes, when it is absolutely essential",Deadline,"Sometimes, when it is absolutely essential",To make code cleaner,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure,Definetely not,Definetely not,Probably yes,Probably yes,Probably yes,Definetely not,Definetely not
Python,"Developer (incl. Software Engineer), Tester (incl. Quality Assurance), Software Architect, Project Manager",Developer (incl. Software Engineer),1-2 years,Brazil,more than 500 commits,Male,High School,2,No,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Lack of well-defined process","Sometimes, when it is absolutely essential",To improve the code and make it more maintainable.,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,The Netherlands,Less than 10 commits,Male,MSc,20,No,Bug fixing,Almost never,Lack of well-defined process,"Sometimes, when it is absolutely essential",Fixing it again at higher cost,Probably yes,I am not sure,Probably yes,I am not sure,Definetely yes,Probably yes,I am not sure,Probably yes,I am not sure,I am not sure,Probably yes,I am not sure,I am not sure,I am not sure,Definetely yes,Probably yes,Probably yes,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,India,Less than 10 commits,Female,BSc,10,Yes,"Bug fixing, New feature",Almost never,"Lack of experience, I am not aware that I introduce technical debt",Almost never,"I don't usually explicitly repay technical debt, since i am usually unaware when I introduce it. If I do repay it, it is to make the code scalable.",Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Probably not,Probably yes,Probably not,Probably yes,Probably yes,Probably not,Probably not,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Probably not,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,USA,more than 500 commits,Male,PhD,6,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Inappropriate planning, Lack of well-defined process, Non-adoption of good practice, Not effective project management, Lack of qualified professionals that can manage techinical debt, Lack of experience","Sometimes, when it is absolutely essential","I prefer cleaner and maintainable code, but am only allowed to make those changes sparingly because management insists that we cannot afford to break existing functionality.",Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes
Python,"Developer (incl. Software Engineer), Tester (incl. Quality Assurance), Team Lead, Software Architect, Project Manager, Product Owner",Project Manager,3-5 years,Japan,100-200 commits,Male,PhD,24,Somewhat,"Bug fixing, New feature, Refactoring, Updated/refined code standard.",Almost never,Deadline,On a regular basis,"Maintenance in preparation of expansion to new functionality, to strengthen a collection of unit tests and boost confidence in output of computational results.",Probably not,Definetely yes,I am not sure,Definetely yes,Probably yes,Probably not,Definetely not,I am not sure,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Vietnam,Less than 10 commits,Male,BSc,12,Yes,"Bug fixing, New feature, Refactoring",On a regular basis,"Deadline, Inappropriate planning, Team overload",On a regular basis,Make the project better,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,"Developer (incl. Software Engineer), Software Architect",Developer (incl. Software Engineer),Less than 1 year,Hungary,30-50 commits,Male,MSc,7,Yes,"New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Lack of well-defined process, Non-adoption of good practice","Sometimes, when it is absolutely essential","Most importantly, to put less burden on the future readers and users of my code.",Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Definetely yes,Definetely yes
