"from" "A Bateman" "A Besnard" "A Breil" "A Cenci" "A Criscuolo" "A Dassouli" "A Dellagi" "A Dereeper" "A Regnault" "AMA Chifolleau" "B Boussau" "B Martret" "B Noel" "B Roure" "B Vacherie" "C Abessolo"
"A Armero" NA NA 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
"A Bateman" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
"A Besnard" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Breil" NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 
"A Cenci" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"A Chifolleau" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Criscuolo" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
"A Dassouli" NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA NA NA
"A Dellagi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Dereeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Regnault" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"A Serra" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AMA Chifolleau" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B Boussau" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B Duthil" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
