Language,Selected,projectname,Domain,contributor,GitHub,web,mailing-list,,,
Java,,Impala,,149,https://github.com/apache/impala,https://impala.apache.org/community.html,dev@impala.apache.org,Yikun,,
,,Thrift,,349,https://github.com/apache/thrift,https://thrift.apache.org/mailing,dev@thrift.apache.org,Yikun,,
,,Apache Hbase,Hadoop database,2992,https://github.com/apache/hbase,https://hbase.apache.org/mail-lists.html,dev@hbase.apache.org,Yikun,,
,Y,Apache Camel,Open-source integration framework,722,https://github.com/apache/camel,https://camel.apache.org/community/mailing-list/,dev@camel.apache.org,ICSME2017,MSR2018,
,Y,Apache Hadoop,A framework for running applications on large clusters built of commodity hardware,22954,https://github.com/apache/hadoop,https://hadoop.apache.org/mailing_lists.html,common-dev@hadoop.apache.org,ICSME2017,MSR2018,SANER2016
,Y,Gerrit,"Free, web-based team code collaboration tool",294,https://github.com/GerritCodeReview/gerrit,https://gerrit.googlesource.com/gerrit,repo-discuss@googlegroups.com,ICSME2017,MSR2018,
,Y,Chromium,Open-source browser project,2070,https://github.com/chromium/chromium,https://chromium.googlesource.com/chromium/src/,chromium-discuss@chromium.org,ICSME2014,SANER2016,
,,Log4j,,4,https://github.com/apache/log4j,https://logging.apache.org/log4j/2.x/mail-lists.html,log4j-dev@logging.apache.org,ICSME2017,MSR2018,
,,Tomcat,,61,https://github.com/apache/tomcat,http://tomcat.apache.org/lists.html#tomcat-dev,dev@tomcat.apache.org,ICSME2017,MSR2018,SANER2016
,,Apache Cassandra,database management system,320,https://github.com/apache/cassandra,https://cassandra.apache.org/community/,dev@cassandra.apache.org,SANER2016,,
Python,Y,Tensorflow,software library for machine learning,2890,https://github.com/tensorflow/tensorflow,https://www.tensorflow.org/community/mailing-lists,developers@tensorflow.org,,,
,,Flask,Web application framework,635,https://github.com/pallets/flask,,,,,
,Y,Django,Open-source web framework,2099,https://github.com/django/django,https://groups.google.com/g/django-developers,django-developers@googlegroups.com,,,
,Y,Scikit-learn,Software machine learning library,1909,https://github.com/scikit-learn/scikit-learn,https://mail.python.org/mailman/listinfo/scikit-learn,scikit-learn@python.org,,,
,,Pytorch,,1746,https://github.com/pytorch/pytorch,,,,,
,Y,Pandas,software library,2260,https://github.com/pandas-dev/pandas,https://mail.python.org/mailman/listinfo/pandas-dev,pandas-dev@python.org,,,
,Y,Apache Superset,Data Visualization and Data Exploration Platform,545,https://github.com/apache/superset,https://lists.apache.org/list.html?dev@superset.apache.org,dev@superset.apache.org,,,
,Y,Ansible,A radically simple IT automation platform,5185,https://github.com/ansible/ansible,https://groups.google.com/g/ansible-devel,ansible-devel@googlegroups.com,,,
